Name,Calories,Protein,Carbs,Fat
House Salad With  Chickpeas Carrots & Corn,123,5.4,23.5,1.7
Lettuce Romaine,15,1,2,0
Oranges,66,1.3,16.5,0.2
Ranch Dressing Packet,190,1,2,20
Shredded Cheddar Cheese,111,7.1,1,9.1
Sliced Black Olives,19,0,0.5,1.9
Tofu,83,2.7,0.3,8.3
Portobello Mushroom And Barley Soup,56,2.1,9.1,1.1
Early Peas With Bacon And Corn,72,3.2,12.6,1
Pork Loin Roast,185,24.2,0,10.4
Red Pepper Coulis Sauce,21,0.1,3.3,0
Baked Potato,130,3.5,29.6,0.2
Beans Black,115,7.1,20.4,0.4
Cheese Monterey Jack Shredded,101,6.1,0.5,8.1
Diced Onions,6,0.2,1.3,0
Fresh Diced Tomato,3,0.1,0.6,0
Guacamole,112,1.2,17.2,4.4
Olives Black Sliced,19,0,0.5,1.9
Picante Salsa,20,0,4,0
Sliced Jalapenos,3,0,0.3,0
Sour Cream,57,0.9,0.9,4.7
Tortilla Chips,142,2,18.2,7.1
Bread Croissant,320,6,38,16
Bread Gluten Free White,240,4,46,5
Bread Honey Wheat,69,3,12.9,0.5
Bread White,69,2.1,13.9,0.8
Buffalo Chicken Wrap,624,25.4,68.9,29.5
Cheese American Slice,70,3,1,6
Cheese Swiss Slice,81,6.1,1,6.1
Deli Roast Beef,61,10.1,0,2
Deli Smoked Ham,81,12.2,1,3
Deli Turkey,51,10.1,1,0.5
Fresh Red Onion Sliced,11,0.3,2.6,0
Fresh Tomato Slice,5,0.2,1.1,0.1
Green Leaf Lettuce,5,0.3,0.7,0
Ham & Swiss On Honey Wheat,322,28.4,30.5,9.3
Ms. Gwen's Chicken Salad,253,13.9,1.6,21.2
Ms. Vickie's Bbq Potato Chips,199,3,22.9,11
Ms. Vickie's Jalapeno Potato Chips,199,3,21.9,11
Ms. Vickie's Original Salted Potato Chips,209,3,22.9,12
Ms. Vickie's Salt & Vinegar Potato Chips,199,3,22.9,11
Peanut Butter & Jelly On Honey Wheat,590,17.3,73.3,28.4
Pickle Dill Sliced,5,0,1,0
Pimento Cheese Sandwich On Whole Wheat Bread,528,20,29.3,38.4
Turkey & Cheddar On Honey Wheat Bread,321,31.2,28,9
Veggie Hummus,89,3.1,7.2,5.6
Angus Beef Hamburger Patty,326,23.1,0,28.1
Bun Gluten Free Hamburger Bun,200,2,40,4.5
Bun Hamburger White,167,5.9,30.1,2.3
Cheese American Slice,70,3,1,6
Cheese Cheddar Slice,54,3.4,0,4.7
Cheese Pepper Jack Slice,95,6.8,0,8.1
